,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
138,Mohamed Elyounoussi\68dc0dac,no NOR,MFFW,Southampton,23,1994,8.8,0,19,6,31.6,2.16,0.68,0.00,0.00,17.0,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
139,Christian Eriksen\980522ec,dk DEN,MF,Tottenham,26,1992,30.8,8,84,30,35.7,2.73,0.97,0.10,0.27,22.3,12,0,0,5.6,5.6,0.07,+2.4,+2.4,Matches
140,Neil Etheridge\2642bf6c,ph PHI,GK,Cardiff City,28,1990,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,30,1988,22.2,1,10,4,40.0,0.45,0.18,0.10,0.25,9.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
142,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,33,1985,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Fabinho\7f3b388c,br BRA,MF,Liverpool,24,1993,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,23.2,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
144,Cesc Fàbregas\33508c78,es ESP,MF,Chelsea,31,1987,2.0,0,1,0,0.0,0.50,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
145,Fabricio\af245161,es ESP,GK,Fulham,30,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
146,Marouane Fellaini\87575fd9,be BEL,MF,Manchester Utd,30,1987,8.4,0,7,3,42.9,0.84,0.36,0.00,0.00,14.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
147,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,27,1991,22.8,1,7,3,42.9,0.31,0.13,0.14,0.33,26.5,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
148,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,29,1989,16.5,0,5,1,20.0,0.30,0.06,0.00,0.00,9.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
149,Fernandinho\101da2b5,br BRA,MF,Manchester City,33,1985,26.4,1,30,7,23.3,1.14,0.27,0.03,0.14,21.6,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
150,Roberto Firmino\4c370d81,br BRA,FWMF,Liverpool,26,1991,29.0,12,73,31,42.5,2.52,1.07,0.15,0.35,14.6,0,1,1,13.3,12.5,0.17,-1.3,-1.5,Matches
151,Phil Foden\ed1e53f3,eng ENG,MF,Manchester City,18,2000,3.7,1,14,6,42.9,3.76,1.61,0.07,0.17,14.4,0,0,0,2.5,2.5,0.18,-1.5,-1.5,Matches
152,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,30,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
153,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,35,1983,38.0,0,1,0,0.0,0.03,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
154,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Fulham,20,1998,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,28.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
155,Juan Foyth\6c7762c3,ar ARG,DF,Tottenham,20,1998,9.9,1,5,1,20.0,0.51,0.10,0.20,1.00,12.1,0,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches
156,Simon Francis\1e0b6a73,eng ENG,DF,Bournemouth,33,1985,13.7,0,3,1,33.3,0.22,0.07,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
157,Ryan Fraser\d56543a0,sct SCO,MFFW,Bournemouth,24,1994,35.2,7,50,24,48.0,1.42,0.68,0.14,0.29,19.0,3,0,0,4.9,4.9,0.10,+2.1,+2.1,Matches
158,Fred\b853e0ad,br BRA,MF,Manchester Utd,25,1993,11.6,1,17,2,11.8,1.47,0.17,0.06,0.50,23.6,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
159,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,25,1992,12.1,1,5,2,40.0,0.41,0.17,0.20,0.50,20.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
160,Christian Fuchs\a67a09fb,at AUT,DF,Leicester City,32,1986,2.3,0,2,0,0.0,0.87,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
161,Manolo Gabbiadini\8f866fe8,it ITA,FWMF,Southampton,26,1991,5.3,1,21,8,38.1,3.97,1.51,0.05,0.13,22.6,1,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
162,Sam Gallagher\44361ade,eng ENG,FWDF,Southampton,22,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
163,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Everton,28,1989,31.4,0,19,4,21.1,0.61,0.13,0.00,0.00,23.6,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
164,James Garner\4e015693,eng ENG,MF,Manchester Utd,17,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
165,Paulo Gazzaniga\63d17038,ar ARG,GK,Tottenham,26,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
166,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,27,1990,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,Rachid Ghezzal\dc3a9a0d,dz ALG,FWMF,Leicester City,26,1992,8.3,1,20,6,30.0,2.42,0.73,0.05,0.17,20.3,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
168,Morgan Gibbs-White\32f60ed8,eng ENG,MFFW,Wolves,18,2000,7.4,0,8,1,12.5,1.09,0.14,0.00,0.00,18.5,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
169,Ben Gibson\bcfb0142,eng ENG,DF,Burnley,25,1993,0.7,1,1,1,100.0,1.45,1.45,1.00,1.00,3.0,0,0,0,0.5,0.5,0.50,+0.5,+0.5,Matches
170,Olivier Giroud\16ceb862,fr FRA,FW,Chelsea,31,1986,9.4,2,31,10,32.3,3.29,1.06,0.06,0.20,10.2,0,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches
171,André Gomes\1961b2aa,pt POR,MF,Everton,25,1993,22.0,1,22,5,22.7,1.00,0.23,0.05,0.20,19.4,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
172,Angel Gomes\645a3363,eng ENG,MFFW,Manchester Utd,17,2000,0.3,0,2,1,50.0,6.67,3.33,0.00,0.00,20.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
173,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,21,1997,11.8,0,5,1,20.0,0.42,0.08,0.00,0.00,14.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
174,Jon Gorenc Stanković\9c74fa25,si SVN,MFDF,Huddersfield,22,1996,7.9,1,9,2,22.2,1.13,0.25,0.11,0.50,15.1,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
175,Dan Gosling\7fec31a0,eng ENG,MF,Bournemouth,28,1990,19.3,2,21,7,33.3,1.09,0.36,0.10,0.29,16.6,0,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
176,Karlan Grant\87f7500e,eng ENG,FW,Huddersfield,20,1997,9.7,3,21,10,47.6,2.16,1.03,0.14,0.30,15.9,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Matches
177,Andre Gray\c24dba2a,jm JAM,FW,Watford,27,1991,15.2,7,35,15,42.9,2.31,0.99,0.20,0.47,13.8,0,0,0,5.7,5.7,0.17,+1.3,+1.3,Matches
178,Demarai Gray\4468ec10,eng ENG,FWMF,Leicester City,22,1996,22.1,4,46,19,41.3,2.09,0.86,0.09,0.21,18.9,1,0,0,4.3,4.3,0.09,-0.3,-0.3,Matches
179,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,16,2001,1.3,0,7,4,57.1,5.38,3.08,0.00,0.00,13.1,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
180,Pascal Groß\8aec0537,de GER,MF,Brighton,27,1991,20.7,3,21,7,33.3,1.01,0.34,0.10,0.29,16.9,1,1,2,3.8,2.3,0.11,-0.8,-0.3,Matches
181,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,31,1987,19.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
182,Mattéo Guendouzi\5ea8ef20,fr FRA,MF,Arsenal,19,1999,23.9,0,15,3,20.0,0.63,0.13,0.00,0.00,24.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
183,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,27,1990,23.7,6,43,11,25.6,1.81,0.46,0.14,0.55,18.1,2,0,0,3.5,3.5,0.08,+2.5,+2.5,Matches
184,Angus Gunn\e082af5b,eng ENG,GK,Southampton,22,1996,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
185,Aron Gunnarsson\e2533c20,is ISL,MF,Cardiff City,29,1989,25.2,1,20,4,20.0,0.79,0.16,0.05,0.25,21.2,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
186,Florent Hadergjonaj\9aa186b2,xk KVX,DFMF,Huddersfield,24,1994,20.5,0,6,2,33.3,0.29,0.10,0.00,0.00,18.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
187,Ben Hamer\d822a850,eng ENG,GK,Huddersfield,30,1987,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
188,Kadeem Harris\24396398,eng ENG,MFFW,Cardiff City,25,1993,4.2,1,5,3,60.0,1.20,0.72,0.20,0.33,15.0,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Matches
189,Joe Hart\cb4f24c6,eng ENG,GK,Burnley,31,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
190,Isaac Hayden\c951a6df,eng ENG,MF,Newcastle Utd,23,1995,20.7,1,20,5,25.0,0.97,0.24,0.05,0.20,21.5,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
191,Eden Hazard\a39bb753,be BEL,FW,Chelsea,27,1991,32.5,16,90,40,44.4,2.77,1.23,0.13,0.30,17.5,2,4,4,11.4,8.4,0.09,+4.6,+3.6,Matches
192,Rhys Healey\07ace8c3,wls WAL,MFFW,Cardiff City,23,1994,0.6,0,1,0,0.0,1.73,0.00,0.00,,21.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
193,Tom Heaton\a6de6361,eng ENG,GK,Burnley,32,1986,19.0,0,1,0,0.0,0.05,0.00,0.00,,10.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
194,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,28,1990,22.1,1,16,1,6.3,0.72,0.05,0.06,1.00,18.2,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
195,Jeff Hendrick\989d5705,ie IRL,MFFW,Burnley,26,1992,22.9,3,19,6,31.6,0.83,0.26,0.16,0.50,16.8,1,0,0,1.3,1.3,0.07,+1.7,+1.7,Matches
196,Wayne Hennessey\76eca7e2,wls WAL,GK,Crystal Palace,31,1987,17.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Javier Hernández\189cee7b,mx MEX,FW,West Ham,30,1988,14.8,7,35,16,45.7,2.36,1.08,0.20,0.44,12.1,0,0,0,5.8,5.8,0.17,+1.2,+1.2,Matches
198,Ander Herrera\436a9dd0,es ESP,MF,Manchester Utd,28,1989,15.6,2,21,9,42.9,1.35,0.58,0.10,0.22,19.3,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
199,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,26,1992,22.7,12,75,28,37.3,3.31,1.24,0.16,0.43,18.7,1,0,0,7.7,7.7,0.10,+4.3,+4.3,Matches
200,Gonzalo Higuaín\8a08491a,ar ARG,FW,Chelsea,30,1987,12.1,5,45,13,28.9,3.73,1.08,0.11,0.38,14.2,0,0,0,5.3,5.3,0.12,-0.3,-0.3,Matches
201,Wesley Hoedt\875898c7,nl NED,DF,Southampton,24,1994,13.0,0,6,1,16.7,0.46,0.08,0.00,0.00,15.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
202,Jonathan Hogg\9306d5ea,eng ENG,MF,Huddersfield,29,1988,26.3,0,8,1,12.5,0.30,0.04,0.00,0.00,19.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
203,Junior Hoilett\33af5b9e,ca CAN,MFFW,Cardiff City,28,1990,23.8,3,40,9,22.5,1.68,0.38,0.08,0.33,18.4,1,0,0,3.1,3.1,0.08,-0.1,-0.1,Matches
204,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,22,1995,9.0,0,1,0,0.0,0.11,0.00,0.00,,39.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
205,José Holebas\12aa7661,gr GRE,DF,Watford,34,1984,26.6,3,17,6,35.3,0.64,0.23,0.18,0.50,23.6,4,0,0,1.1,1.1,0.07,+1.9,+1.9,Matches
206,Mason Holgate\d0042ab9,eng ENG,DF,Everton,21,1996,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
207,Callum Hudson-Odoi\15f3ec41,eng ENG,FW,Chelsea,17,2000,4.4,0,6,3,50.0,1.37,0.69,0.00,0.00,13.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
208,Will Hughes\a0666d3e,eng ENG,MFFW,Watford,23,1995,26.9,2,31,8,25.8,1.15,0.30,0.06,0.25,16.7,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
209,Emerson Hyndman\3be1a627,us USA,MF,Bournemouth,22,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
210,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Southampton,22,1995,30.7,4,53,19,35.8,1.73,0.62,0.08,0.21,23.6,2,0,0,2.6,2.6,0.05,+1.4,+1.4,Matches
211,Jordon Ibe\9f736ed2,eng ENG,MFFW,Bournemouth,22,1995,8.9,1,9,3,33.3,1.02,0.34,0.11,0.33,17.2,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
212,Vicente Iborra\ad1ffcfd,es ESP,MF,Leicester City,30,1988,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,9.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
213,Kelechi Iheanacho\c92e1a31,ng NGA,FWMF,Leicester City,21,1996,10.5,1,19,6,31.6,1.82,0.57,0.05,0.17,17.2,0,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches
214,Danny Ings\07802f7f,eng ENG,FW,Southampton,26,1992,18.3,7,52,19,36.5,2.83,1.04,0.08,0.21,14.7,0,3,3,9.1,6.8,0.13,-2.1,-2.8,Matches
215,Alex Iwobi\6ca5ec4b,ng NGA,FWMF,Arsenal,22,1996,21.9,3,35,14,40.0,1.60,0.64,0.09,0.21,15.6,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches
216,José Izquierdo\ca2bc3df,co COL,MFFW,Brighton,26,1992,8.8,0,15,3,20.0,1.70,0.34,0.00,0.00,19.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
217,Phil Jagielka\3233eefd,eng ENG,DFMF,Everton,35,1982,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,4.0,0,0,0,0.4,0.4,0.38,+0.6,+0.6,Matches
218,Alireza Jahanbakhsh\08452314,ir IRN,FWMF,Brighton,24,1993,11.3,0,21,7,33.3,1.85,0.62,0.00,0.00,22.8,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
219,Daryl Janmaat\45da6694,nl NED,DF,Watford,29,1989,16.9,0,11,1,9.1,0.65,0.06,0.00,0.00,20.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
220,Vincent Janssen\31dce0c8,nl NED,FW,Tottenham,24,1994,0.4,0,3,2,66.7,6.92,4.62,0.00,0.00,12.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
221,Carl Jenkinson\874125a3,eng ENG,DF,Arsenal,26,1992,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,21,1997,11.5,7,41,22,53.7,3.56,1.91,0.15,0.27,11.1,0,1,1,9.4,8.6,0.22,-2.4,-2.6,Matches
223,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,27,1991,34.6,13,109,31,28.4,3.15,0.90,0.10,0.35,14.2,0,2,2,13.7,12.2,0.11,-0.7,-1.2,Matches
224,Stefan Johansen\a48da055,no NOR,MF,Fulham,27,1991,4.6,0,1,0,0.0,0.22,0.00,0.00,,32.4,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
225,Ben Johnson\9319781b,eng ENG,DF,West Ham,18,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
226,Tyreke Johnson\4701e130,eng ENG,FW,Southampton,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,26,1992,14.0,0,5,2,40.0,0.36,0.14,0.00,0.00,16.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
228,Jorginho\45db685d,it ITA,MF,Chelsea,26,1991,35.1,2,18,6,33.3,0.51,0.17,0.06,0.17,25.1,0,1,1,1.5,0.7,0.04,+0.5,+0.3,Matches
229,Joselu\6265208f,es ESP,FW,Newcastle Utd,28,1990,6.6,2,17,5,29.4,2.57,0.76,0.12,0.40,13.5,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches
230,Diogo Jota\178ae8f8,pt POR,FWMF,Wolves,21,1996,26.2,9,57,23,40.4,2.18,0.88,0.16,0.39,13.9,0,0,0,8.1,8.1,0.14,+0.9,+0.9,Matches
231,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Huddersfield,28,1990,23.9,3,8,4,50.0,0.34,0.17,0.38,0.75,12.4,0,0,0,1.7,1.7,0.21,+1.3,+1.3,Matches
232,Christian Kabasele\914ab9a1,be BEL,DF,Watford,27,1991,17.6,0,6,1,16.7,0.34,0.06,0.00,0.00,7.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
233,Elias Kachunga\5bddccc9,cd COD,FWMF,Huddersfield,26,1992,13.1,0,14,3,21.4,1.07,0.23,0.00,0.00,13.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
234,Aboubakar Kamara\4047c976,mr MTN,FWMF,Fulham,23,1995,7.7,3,19,8,42.1,2.47,1.04,0.11,0.25,19.0,0,1,2,3.6,2.1,0.11,-0.6,-0.1,Matches
235,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,25,1993,26.9,17,96,42,43.8,3.56,1.56,0.14,0.31,16.3,4,4,4,14.2,11.2,0.12,+2.8,+1.8,Matches
236,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,27,1991,34.4,4,30,6,20.0,0.87,0.17,0.13,0.67,17.4,0,0,0,2.5,2.5,0.08,+1.5,+1.5,Matches
237,Beram Kayal\26679cdf,il ISR,MF,Brighton,30,1988,10.4,1,5,2,40.0,0.48,0.19,0.20,0.50,20.2,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Matches
238,Michael Keane\c5b7c315,eng ENG,DF,Everton,25,1993,33.0,1,28,9,32.1,0.85,0.27,0.04,0.11,9.3,0,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches
239,Neeskens Kebano\18b999f4,cd COD,FWMF,Fulham,26,1992,1.2,0,1,0,0.0,0.83,0.00,0.00,,5.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
240,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,23,1995,15.4,2,27,9,33.3,1.75,0.58,0.07,0.22,17.5,0,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
241,Martin Kelly\d7492450,eng ENG,DF,Crystal Palace,28,1990,12.3,0,3,1,33.3,0.24,0.08,0.00,0.00,7.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
242,Kenedy\5eebbfdf,br BRA,MFFW,Newcastle Utd,22,1996,15.0,1,29,5,17.2,1.94,0.33,0.03,0.20,21.5,1,0,1,2.4,1.6,0.05,-1.4,-0.6,Matches
243,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,21,1997,8.8,0,3,0,0.0,0.34,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
244,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
245,Joshua King\43458538,no NOR,FWMF,Bournemouth,26,1992,32.9,12,64,19,29.7,1.95,0.58,0.11,0.37,15.6,0,5,6,12.0,7.5,0.12,0.0,-0.5,Matches
246,Anthony Knockaert\6c679c6d,fr FRA,MFFW,Brighton,26,1991,20.4,2,27,9,33.3,1.32,0.44,0.07,0.22,17.6,2,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
247,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,25,1993,21.0,0,10,2,20.0,0.48,0.10,0.00,0.00,16.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
248,Vincent Kompany\d2bff301,be BEL,DF,Manchester City,32,1986,13.6,1,4,1,25.0,0.29,0.07,0.25,1.00,19.8,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
249,Terence Kongolo\1f9a3a04,nl NED,DF,Huddersfield,24,1994,30.2,1,14,4,28.6,0.46,0.13,0.07,0.25,12.8,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
250,Laurent Koscielny\f5efb153,fr FRA,DF,Arsenal,32,1985,14.8,3,5,4,80.0,0.34,0.27,0.60,0.75,5.8,0,0,0,1.6,1.6,0.32,+1.4,+1.4,Matches
251,Cheikhou Kouyaté\8d3c902d,sn SEN,MF,Crystal Palace,28,1989,21.1,0,21,8,38.1,1.00,0.38,0.00,0.00,19.3,0,0,0,1.6,1.6,0.07,-1.6,-1.6,Matches
252,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,24,1994,19.3,0,29,3,10.3,1.50,0.16,0.00,0.00,20.0,0,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
253,Rajiv van La Parra\1931bde9,nl NED,FWMF,Huddersfield,27,1991,4.5,0,5,0,0.0,1.11,0.00,0.00,,23.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
254,Alexandre Lacazette\9dbb75ca,fr FRA,FW,Arsenal,27,1991,27.8,13,82,28,34.1,2.95,1.01,0.16,0.46,13.4,1,0,0,12.4,12.4,0.15,+0.6,+0.6,Matches
255,Adam Lallana\99813635,eng ENG,MFFW,Liverpool,30,1988,5.2,0,5,2,40.0,0.96,0.38,0.00,0.00,16.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
256,Érik Lamela\abe66106,ar ARG,FWMF,Tottenham,26,1992,10.8,4,29,11,37.9,2.68,1.02,0.14,0.36,15.5,1,0,0,3.5,3.5,0.12,+0.5,+0.5,Matches
257,Manuel Lanzini\26f6dca8,ar ARG,MF,West Ham,25,1993,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,19.0,3,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
258,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,24,1994,34.0,3,25,7,28.0,0.74,0.21,0.12,0.43,16.4,0,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches
259,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,24,1993,30.5,0,11,1,9.1,0.36,0.03,0.00,0.00,9.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
260,Maxime Le Marchand\321a71a7,fr FRA,DF,Fulham,28,1989,25.0,0,4,0,0.0,0.16,0.00,0.00,,13.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
261,Florian Lejeune\6eaed4eb,fr FRA,DF,Newcastle Utd,27,1991,11.7,0,6,2,33.3,0.51,0.17,0.00,0.00,15.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
262,Mario Lemina\2b471f99,ga GAB,MF,Southampton,24,1993,17.9,1,26,4,15.4,1.45,0.22,0.04,0.25,21.1,0,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
263,Aaron Lennon\2ff964a0,eng ENG,MFFW,Burnley,31,1987,13.5,1,4,2,50.0,0.30,0.15,0.25,0.50,14.3,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches
264,Bernd Leno\2628fd2b,de GER,GK,Arsenal,26,1992,31.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
265,Jefferson Lerma\9b5ce51a,co COL,MF,Bournemouth,23,1994,27.8,2,32,8,25.0,1.15,0.29,0.06,0.25,24.9,0,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches
266,Stephan Lichtsteiner\99b1d0e6,ch SUI,DF,Arsenal,34,1984,10.4,0,1,0,0.0,0.10,0.00,0.00,,31.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
267,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,24,1994,28.9,1,7,1,14.3,0.24,0.03,0.14,1.00,7.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
268,Jesse Lingard\810e3c74,eng ENG,FWMF,Manchester Utd,25,1992,18.5,4,31,12,38.7,1.68,0.65,0.10,0.25,17.5,0,1,1,4.8,4.0,0.13,-0.8,-1.0,Matches
269,Fernando Llorente\82dbf623,es ESP,FW,Tottenham,33,1985,7.7,1,23,5,21.7,2.98,0.65,0.04,0.20,9.5,0,0,0,3.0,3.0,0.13,-2.0,-2.0,Matches
270,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,31,1986,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
271,Jürgen Locadia\6cc47ae1,nl NED,FWMF,Brighton,24,1993,13.7,2,28,9,32.1,2.04,0.66,0.07,0.22,16.7,1,0,0,3.1,3.1,0.11,-1.1,-1.1,Matches
272,Ruben Loftus-Cheek\e97fd090,eng ENG,MFFW,Chelsea,22,1996,11.1,6,27,8,29.6,2.43,0.72,0.22,0.75,15.9,0,0,0,2.9,2.9,0.11,+3.1,+3.1,Matches
273,Kevin Long\5a4280b1,ie IRL,DF,Burnley,27,1990,5.7,0,1,0,0.0,0.18,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
274,Shane Long\9f472354,ie IRL,FWMF,Southampton,31,1987,14.1,5,30,9,30.0,2.12,0.64,0.17,0.56,14.1,0,0,0,4.8,4.8,0.17,+0.2,+0.2,Matches
275,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,20,1997,7.6,1,8,2,25.0,1.05,0.26,0.13,0.50,23.2,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
