,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
60,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-131,1997,16.8,1,17,4,23.5,1.01,0.24,0.06,0.25,19.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
61,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-011,1995,12.6,0,1,0,0.0,0.08,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
62,Craig Cathcart\89e4b358,nir NIR,DF,Watford,32-313,1989,13.3,0,1,0,0.0,0.08,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
63,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-305,1987,2.4,1,7,2,28.6,2.96,0.85,0.14,0.50,10.7,0,0,0,1.4,1.4,0.20,-0.4,-0.4,Matches
64,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-164,1999,7.7,2,3,2,66.7,0.39,0.26,0.67,1.00,19.2,0,0,0,0.5,0.5,0.18,+1.5,+1.5,Matches
65,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,26-330,1995,1.9,0,2,0,0.0,1.06,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
66,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,24-360,1996,6.0,3,13,6,46.2,2.17,1.00,0.23,0.50,17.9,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Matches
67,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,24-076,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-250,1996,10.2,0,3,0,0.0,0.29,0.00,0.00,,20.3,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
69,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,17-343,2004,1.2,0,1,1,100.0,0.84,0.84,0.00,0.00,11.0,0,0,0,0.4,0.4,0.39,-0.4,-0.4,Matches
70,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-081,1989,10.0,0,7,1,14.3,0.70,0.10,0.00,0.00,7.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
71,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-126,1989,8.1,0,5,3,60.0,0.62,0.37,0.00,0.00,28.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
